LETRA;CATEGORIA;SUBCATEGORIA;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS
A;06;9;;;;Amebíase não especificada;A06.9 Amebiase NE;;
A;07;0;;;;Balantidíase;A07.0 Balantidiase;;
A;07;1;;;;Giardíase [lamblíase];A07.1 Giardiase;;
A;07;2;;;;Criptosporidiose;A07.2 Criptosporidiose;;
A;07;3;;;;Isosporíase;A07.3 Isosporiase;;
A;07;8;;;;Outras doenças intestinais especificadas por protozoários;A07.8 Outr doenc intestinais espec p/protozoarios;;
A;07;9;;;;Doença intestinal não especificada por protozoários;A07.9 Doenc intestinal NE p/protozoarios;;
A;08;0;;;;Enterite por rotavírus;A08.0 Enterite p/rotavirus;;
A;08;1;;;;Gastroenteropatia aguda pelo agente de Norwalk;A08.1 Gastroenteropatia aguda p/agente de Norwalk;;
A;08;2;;;;Enterite por adenovírus;A08.2 Enterite p/adenovirus;;
A;08;3;;;;Outras enterites virais;A08.3 Outr enterites virais;;
A;08;4;;;;Infecção intestinal devida a vírus não especificado;A08.4 Infecc intestinal dev virus NE;;
A;08;5;;;;Outras infecções intestinais especificadas;A08.5 Outr infecc intestinais espec;;
A;09;;;;;Diarréia e gastroenterite de origem infecciosa presumível;A09   Diarreia e gastroenterite orig infecc presum;;
A;15;0;;;;Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura;A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult;;
A;15;1;;;;Tuberculose pulmonar, com confirmação somente por cultura;A15.1 Tuberc pulmonar c/conf somente p/cultura;;
A;15;2;;;;Tuberculose pulmonar, com confirmação histológica;A15.2 Tuberc pulmonar c/conf histolog;;
A;15;3;;;;Tuberculose pulmonar, com confirmação por meio não especificado;A15.3 Tuberc pulmonar c/conf p/meio NE;;
A;15;4;;;;Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica;A15.4 Tuberc gangl intrator c/conf bacter e histol;;
A;15;5;;;;Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica;A15.5 Tuberc laring traq bronq c/conf bact e hist;;
A;15;6;;;;Pleuris tuberculoso, com confirmação bacteriológica e histológica;A15.6 Pleuris tuberc c/conf bacteriol e histolog;;
A;15;7;;;;Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica;A15.7 Tuberc prim vias respir c/conf bact e histol;;
A;15;8;;;;Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica;A15.8 Outr form tuberc via resp c/conf bact hist;;
A;15;9;;;;Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica;A15.9 Tuberc NE vias respir c/conf bacter histol;;
A;16;0;;;;Tuberculose pulmonar com exames bacteriológico e histológico negativos;A16.0 Tuberc pulmonar c/exames bact e hist negat;;
A;16;1;;;;Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico;A16.1 Tuberc pulmonar s/exame bacter ou histolog;;
A;16;2;;;;Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica;A16.2 Tuberc pulmonar s/menc conf bact ou hist;;
A;16;3;;;;Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica;A16.3 Tuberc gangl intrat s/menc conf bact hist;;
A;16;4;;;;Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica;A16.4 Tuberc laring traq bronq s/menc bact hist;;
A;16;5;;;;Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica;A16.5 Pleurisia tuberc s/menc conf bact ou histol;;
A;16;7;;;;Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica;A16.7 Tuberc respir prim s/menc conf bact ou hist;;
A;16;8;;;;Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica;A16.8 Outr tuber via resp s/menc conf bact hist;;
A;16;9;;;;Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica;A16.9 Tuberc respirat NE s/menc conf bact ou hist;;
A;17;0;+;;;Meningite tuberculosa;A17.0 Meningite tuberc;G01*;
A;17;1;+;;;Tuberculoma meníngeo;A17.1 Tuberculoma meningeo;G07*;
A;17;8;+;;;Outras tuberculoses do sistema nervoso;A17.8 Outr tuberc do sist nervoso;;
A;17;9;+;;;Tuberculose não especificada do sistema nervoso;A17.9 Tuberc NE do sist nervoso;G99.8*;
A;18;0;+;;;Tuberculose óssea e das articulações;A18.0 Tuberc ossea e das articulacoes;;
A;18;1;;;;Tuberculose do aparelho geniturinário;A18.1 Tuberc do aparelho geniturinario;;
A;18;2;;;;Linfadenopatia tuberculosa periférica;A18.2 Linfadenopatia tuberc periferica;;
A;18;3;;;;Tuberculose do intestino, do peritônio e dos gânglios mesentéricos;A18.3 Tuberc intestino peritonio gangl mesenter;;
A;18;4;;;;Tuberculose de pele e do tecido celular subcutâneo;A18.4 Tuberc de pele e tec celular subcutaneo;;
A;18;5;;;;Tuberculose do olho;A18.5 Tuberc do olho;;
A;18;6;;;;Tuberculose do ouvido;A18.6 Tuberc do ouvido;;
A;18;7;+;;;Tuberculose das supra-renais;A18.7 Tuberc das supra-renais;E35.1*;
A;18;8;;;;Tuberculose de outros órgãos especificados;A18.8 Tuberc de outr orgaos espec;;
A;19;0;;;;Tuberculose miliar aguda de localização única e especificada;A19.0 Tuberc miliar aguda de localiz unica espec;;
A;19;1;;;;Tuberculose miliar aguda de múltiplas localizações;A19.1 Tuberc miliar aguda de mult localiz;;
A;19;2;;;;Tuberculose miliar aguda não especificada;A19.2 Tuberc miliar aguda NE;;
A;19;8;;;;Outras tuberculoses miliares;A19.8 Outr tuberc miliares;;
A;19;9;;;;Tuberculose miliar não especificada;A19.9 Tuberc miliar NE;;
A;20;0;;;;Peste bubônica;A20.0 Peste bubonica;;
A;20;1;;;;Peste celulocutânea;A20.1 Peste celulocutanea;;
A;20;2;;;;Peste pneumônica;A20.2 Peste pneumonica;;
A;20;3;;;;Peste meníngea;A20.3 Peste meningea;;
A;20;7;;;;Peste septicêmica;A20.7 Peste septicemica;;
A;20;8;;;;Outras formas de peste;A20.8 Outr form de peste;;
A;20;9;;;;Peste, forma não especificada;A20.9 Peste form NE;;
A;21;0;;;;Tularemia ulceroglandular;A21.0 Tularemia ulceroglandular;;
A;21;1;;;;Tularemia oculoglandular;A21.1 Tularemia oculoglandular;;
A;21;2;;;;Tularemia pulmonar;A21.2 Tularemia pulmonar;;
A;21;3;;;;Tularemia gastrointestinal;A21.3 Tularemia gastrointestinal;;
A;21;7;;;;Tularemia generalizada;A21.7 Tularemia generalizada;;
A;21;8;;;;Outras formas de tularemia;A21.8 Outr form de tularemia;;
A;21;9;;;;Tularemia, forma não especificada;A21.9 Tularemia form NE;;
A;22;0;;;;Carbúnculo cutâneo;A22.0 Carbunculo cutaneo;;
A;22;1;;;;Carbúnculo pulmonar;A22.1 Carbunculo pulmonar;;
A;22;2;;;;Carbúnculo gastrointestinal;A22.2 Carbunculo gastrointestinal;;
A;22;7;;;;Septicemia carbunculosa;A22.7 Septicemia carbunculosa;;
A;22;8;;;;Outras formas de carbúnculo;A22.8 Outr form de carbunculo;;
A;22;9;;;;Carbúnculo, forma não especificada;A22.9 Carbunculo form NE;;
A;23;0;;;;Brucelose por Brucella melitensis;A23.0 Brucelose p/Brucella melitensis;;
A;23;1;;;;Brucelose por Brucella abortus;A23.1 Brucelose p/Brucella abortus;;
A;23;2;;;;Brucelose por Brucella suis;A23.2 Brucelose p/Brucella suis;;
A;23;3;;;;Brucelose por Brucella canis;A23.3 Brucelose p/Brucella canis;;
A;23;8;;;;Outras bruceloses;A23.8 Outr bruceloses;;
A;23;9;;;;Brucelose não especificada;A23.9 Brucelose NE;;
A;24;0;;;;Mormo;A24.0 Mormo;;
A;24;1;;;;Melioidose aguda e fulminante;A24.1 Melioidose aguda e fulminante;;
A;24;2;;;;Melioidose subaguda e crônica;A24.2 Melioidose subaguda e cronica;;
A;24;3;;;;Outras melioidoses;A24.3 Outr melioidoses;;
A;24;4;;;;Melioidose não especificada;A24.4 Melioidose NE;;
A;25;0;;;;Espirilose;A25.0 Espirilose;;
A;25;1;;;;Estreptobacilose;A25.1 Estreptobacilose;;
A;25;9;;;;Febre transmitida por mordedura de rato, tipo não especificado;A25.9 Febre transm p/mordedura de rato tipo NE;;
A;26;0;;;;Erisipelóide cutâneo;A26.0 Erisipeloide cutaneo;;
A;26;7;;;;Septicemia por Erysipelothrix;A26.7 Septicemia p/Erysipelothrix;;
A;26;8;;;;Outras formas de erisipelóide;A26.8 Outr form de erisipeloide;;
A;26;9;;;;Erisipelóide não especificado;A26.9 Erisipeloide NE;;
A;27;0;;;;Leptopirose icterohemorrágica;A27.0 Leptopirose icterohemorragica;;
A;27;8;;;;Outras formas de leptospirose;A27.8 Outr form de leptospirose;;
A;27;9;;;;Leptospirose não especificada;A27.9 Leptospirose NE;;
A;28;0;;;;Pasteurelose;A28.0 Pasteurelose;;
A;28;1;;;;Doença por arranhadura do gato;A28.1 Doenc p/arranhadura do gato;;
A;28;2;;;;Yersiniose extra-intestinal;A28.2 Yersiniose extra-intestinal;;
A;28;8;;;;Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte;A28.8 Outr doenc bacter zoonoticas espec NCOP;;
A;28;9;;;;Doença bacteriana zoonótica não especificada;A28.9 Doenc bacter zoonotica NE;;
A;30;0;;;;Hanseníase [lepra] indeterminada;A30.0 Hanseniase indeterminada;;
A;30;1;;;;Hanseníase [lepra] tuberculóide;A30.1 Hanseniase tuberculoide;;
A;30;2;;;;Hanseníase [lepra] tuberculóide borderline;A30.2 Hanseniase tuberculoide borderline;;
A;30;3;;;;Hanseníase [lepra] dimorfa;A30.3 Hanseniase dimorfa;;
A;30;4;;;;Hanseníase [lepra] lepromatosa borderline;A30.4 Hanseniase lepromatosa borderline;;
A;30;5;;;;Hanseníase [lepra] lepromatosa;A30.5 Hanseniase lepromatosa;;
A;30;8;;;;Outras formas de hanseníase [lepra];A30.8 Outr form de hanseniase;;
A;30;9;;;;Hanseníase [lepra] não especificada;A30.9 Hanseniase NE;;
A;31;0;;;;Infecção pulmonar micobacteriana;A31.0 Infecc pulmonar micobacteriana;;
A;31;1;;;N;Infecção cutânea micobacteriana;A31.1 Infecc cutanea micobacteriana;;
A;31;8;;;;Outras infecções micobacterianas;A31.8 Outr infecc micobacterianas;;
A;31;9;;;;Infecção micobacteriana não especificada;A31.9 Infecc micobacteriana NE;;
A;32;0;;;;Listeriose cutânea;A32.0 Listeriose cutanea;;
A;32;1;+;;;Meningite e meningoencefalite por listéria;A32.1 Meningite e meningoencefalite p/listeria;;
A;32;7;;;;Septicemia listeriótica;A32.7 Septicemia listeriotica;;
A;32;8;;;;Outras formas de listeriose;A32.8 Outr form de listeriose;;
A;32;9;;;;Listeriose não especificada;A32.9 Listeriose NE;;
A;33;;;;;Tétano do recém-nascido [neonatal];A33   Tetano do recem-nascido;;
A;34;;;F;;Tétano obstétrico;A34   Tetano obstetrico;;
A;35;;;;;Outros tipos de tétano;A35   Outr tipos de tetano;;
A;36;0;;;;Difteria faríngea;A36.0 Difteria faringea;;
A;36;1;;;;Difteria nasofaríngea;A36.1 Difteria nasofaringea;;
A;36;2;;;;Difteria laríngea;A36.2 Difteria laringea;;
A;36;3;;;;Difteria cutânea;A36.3 Difteria cutanea;;
A;36;8;;;;Outras formas de difteria;A36.8 Outr form de difteria;;
A;36;9;;;;Difteria não especificada;A36.9 Difteria NE;;
A;37;0;;;;Coqueluche por Bordetella pertussis;A37.0 Coqueluche p/Bordetella pertussis;;
A;37;1;;;;Coqueluche por Bordetella parapertussis;A37.1 Coqueluche p/Bordetella parapertussis;;
A;37;8;;;;Coqueluche por outras espécies da Bordetella;A37.8 Coqueluche p/outr especies da Bordetella;;
A;37;9;;;;Coqueluche não especificada;A37.9 Coqueluche NE;;
A;38;;;;;Escarlatina;A38   Escarlatina;;
A;39;0;+;;;Meningite meningocócica;A39.0 Meningite meningococica;G01*;
A;39;1;+;;;Síndrome de Waterhouse-Friderichsen;A39.1 Sindr de Waterhouse-Friderichsen;E35.1*;
A;39;2;;;;Meningococcemia aguda;A39.2 Meningococcemia aguda;;
A;39;3;;;;Meningococcemia crônica;A39.3 Meningococcemia cronica;;
A;39;4;;;;Meningococcemia não especificada;A39.4 Meningococcemia NE;;
A;39;5;+;;;Cardite por meningococos;A39.5 Cardite p/meningococos;;
A;39;8;;;;Outras infecções por meningococos;A39.8 Outr infecc p/meningococos;;
A;39;9;;;;Infecção meningocócica não especificada;A39.9 Infecc meningococica NE;;
A;40;0;;;;Septicemia por Streptococcus do grupo A;A40.0 Septicemia p/Streptococcus do grupo A;;
A;40;1;;;;Septicemia por Streptococcus do grupo B;A40.1 Septicemia p/Streptococcus do grupo B;;
A;40;2;;;;Septicemia por Streptococcus do grupo D;A40.2 Septicemia p/Streptococcus do grupo D;;
A;40;3;;;;Septicemia por Streptococcus pneumonia;A40.3 Septicemia p/Streptococcus pneumonia;;
A;40;8;;;;Outras septicemias estreptocócicas;A40.8 Outr septicemias estreptococicas;;
A;40;9;;;;Septicemia estreptocócica não especificada;A40.9 Septicemia estreptococica NE;;
A;41;0;;;;Septicemia por Staphylococcus aureus;A41.0 Septicemia p/Staphylococcus aureus;;
A;41;1;;;;Septicemia por outros estafilococos especificados;A41.1 Septicemia p/outr estafilococos espec;;
A;41;2;;;;Septicemia por estafilococos não especificados;A41.2 Septicemia p/estafilococos NE;;
A;41;3;;;;Septicemia por Haemophilus influenzae;A41.3 Septicemia p/Haemophilus influenzae;;
A;41;4;;;;Septicemia por anaeróbios;A41.4 Septicemia p/anaerobios;;
A;41;5;;;;Septicemia por outros microorganismos gram-negativos;A41.5 Septicemia p/outr microorg gram-negativos;;
A;41;8;;;;Outras septicemias especificadas;A41.8 Outr septicemias espec;;
A;41;9;;;;Septicemia não especificada;A41.9 Septicemia NE;;
A;42;0;;;;Actinomicose pulmonar;A42.0 Actinomicose pulmonar;;
A;42;1;;;;Actinomicose abdominal;A42.1 Actinomicose abdominal;;
A;42;2;;;;Actinomicose cervicofacial;A42.2 Actinomicose cervicofacial;;
A;42;7;;;;Septicemia actinomicótica;A42.7 Septicemia actinomicotica;;
A;42;8;;;N;Outras formas de actinomicose;A42.8 Outr form de actinomicose;;
A;42;9;;;;Actinomicose não especificada;A42.9 Actinomicose NE;;
A;43;0;;;;Nocardiose pulmonar;A43.0 Nocardiose pulmonar;;
A;43;1;;;;Nocardiose cutânea;A43.1 Nocardiose cutanea;;
A;43;8;;;;Outras formas de nocardiose;A43.8 Outr form de nocardiose;;
A;43;9;;;;Nocardiose não especificada;A43.9 Nocardiose NE;;
A;44;0;;;;Bartonelose sistêmica;A44.0 Bartonelose sistemica;;
A;44;1;;;;Bartonelose cutânea e cutâneo-mucosa;A44.1 Bartonelose cutanea e cutaneo-mucosa;;
A;44;8;;;;Outras formas de bartonelose;A44.8 Outr form de bartonelose;;
A;44;9;;;;Bartonelose não especificada;A44.9 Bartonelose NE;;
A;46;;;;;Erisipela;A46   Erisipela;;
A;48;0;;;;Gangrena gasosa;A48.0 Gangrena gasosa;;
A;48;1;;;;Doença dos legionários;A48.1 Doenc dos legionarios;;
A;48;2;;;;Doença dos legionários não-pneumônica [febre de Pontiac];A48.2 Doenc dos legionarios nao-pneumonica;;
A;48;3;;;;Síndrome do choque tóxico;A48.3 Sindr do choque toxico;;
A;48;4;;;;Febre purpúrica do Brasil;A48.4 Febre purpurica do Brasil;;
A;48;8;;;;Outras doenças bacterianas especificadas;A48.8 Outr doenc bacter espec;;
A;49;0;;;;Infecção estafilocócica de localização não especificada;A49.0 Infecc estafilococica localiz NE;;
A;49;1;;;;Infecção estreptocócica de localização não especificada;A49.1 Infecc estreptococica localiz NE;;
A;49;2;;;;Infecção por Haemophilus influenzae de localização não especificada;A49.2 Infecc p/Haemophilus influenzae localiz NE;;
A;49;3;;;;Infecção por Mycoplasma de localização não especificada;A49.3 Infecc p/Mycoplasma localiz NE;;
A;49;8;;;;Outras infecções bacterianas de localização não especificada;A49.8 Outr infecc bacterianas localiz NE;;
A;49;9;;;;Infecção bacteriana não especificada;A49.9 Infecc bacter NE;;
A;50;0;;;;Sífilis congênita precoce sintomática;A50.0 Sifilis congen precoce sintomatica;;
A;50;1;;;;Sífilis congênita precoce, forma latente;A50.1 Sifilis congen precoce form latente;;
A;50;2;;;;Sífilis congênita precoce não especificada;A50.2 Sifilis congen precoce NE;;
A;50;3;;;;Oculopatia sifilítica congênita tardia;A50.3 Oculopatia sifilitica congen tard;;
A;50;4;;;;Neurossífilis congênita tardia [neurossífilis juvenil];A50.4 Neurossifilis congen tard;;
A;50;5;;;;Outras formas tardias e sintomáticas da sífilis congênita;A50.5 Outr form tard e sintomat sifilis congen;;
A;50;6;;;;Sífilis congênita tardia latente;A50.6 Sifilis congen tard latente;;
A;50;7;;;;Sífilis congênita tardia não especificada;A50.7 Sifilis congen tard NE;;
A;50;9;;;;Sífilis congênita não especificada;A50.9 Sifilis congen NE;;
A;51;0;;;;Sífilis genital primária;A51.0 Sifilis genital prim;;
A;51;1;;;;Sífilis anal primária;A51.1 Sifilis anal prim;;
A;51;2;;;;Sífilis primária de outras localizações;A51.2 Sifilis prim de outr localiz;;
A;51;3;;;;Sífilis secundária da pele e das mucosas;A51.3 Sifilis secund da pele e das mucosas;;
A;51;4;;;;Outras formas de sífilis secundária;A51.4 Outr form de sifilis secund;;
A;51;5;;;;Sífilis precoce latente;A51.5 Sifilis precoce latente;;
A;51;9;;;;Sífilis precoce não especificada;A51.9 Sifilis precoce NE;;
A;52;0;+;;;Sífilis cardiovascular;A52.0 Sifilis cardiovascular;;
A;52;1;;;;Neurossífilis sintomática;A52.1 Neurossifilis sintomatica;;
A;52;2;;;;Neurossífilis assintomática;A52.2 Neurossifilis assintomatica;;
A;52;3;;;;Neurossífilis não especificada;A52.3 Neurossifilis NE;;
A;52;7;;;;Outras formas de sífilis tardia sintomática;A52.7 Outr form de sifilis tard sintomatica;;
A;52;8;;;;Sífilis tardia latente;A52.8 Sifilis tard latente;;
A;52;9;;;;Sífilis tardia não especificada;A52.9 Sifilis tard NE;;
A;53;0;;;;Sífilis latente, não especificada se recente ou tardia;A53.0 Sifilis latente NE se recente ou tard;;
A;53;9;;;;Sífilis não especificada;A53.9 Sifilis NE;;
A;54;0;;;;Infecção gonocócica do trato geniturinário inferior, sem abscesso periuretral ou das glândulas acessórias;A54.0 Inf gon tr genit inf s/abs periur/gland aces;;
A;54;1;;;;Infecção gonocócica do trato geniturinário inferior, com abscesso periuretral ou das glândulas acessórias;A54.1 Inf gon tr genit inf c/abs periur/gland aces;;
A;54;2;;;;Pelviperitonite gonocócica e outras infecções geniturinárias gonocócicas;A54.2 Pelviperit gonoc e outr infecc genitur gonoc;;
A;54;3;;;;Infecção gonocócica do olho;A54.3 Infecc gonococica do olho;;
A;54;4;+;;;Infecção gonocócica do sistema músculo-esquelético;A54.4 Infecc gonococica sist musculo-esqueletico;;
A;54;5;;;;Faringite gonocócica;A54.5 Faringite gonococica;;
A;54;6;;;;Infecção gonocócica do ânus ou do reto;A54.6 Infecc gonococica do anus ou do reto;;
A;54;8;;;;Outras infecções gonocócicas;A54.8 Outr infecc gonococicas;;
A;54;9;;;;Infecção gonocócica não especificada;A54.9 Infecc gonococica NE;;
A;55;;;;;Linfogranuloma (venéreo) por clamídia;A55   Linfogranuloma p/clamidia;;
A;56;0;;;;Infecções por clamídias do trato geniturinário inferior;A56.0 Infecc p/clamidias trato geniturinario infer;;
A;56;1;;;;Infecção por clamídias, pelviperitonial e de outros órgãos geniturinários;A56.1 Infecc p/clamid pelviper e outr org genitur;;
A;56;2;;;;Infecção por clamídias do trato geniturinário, localização não especificada;A56.2 Infecc p/clamidias trato genitur localiz NE;;
A;56;3;;;;Infecção do ânus e do reto por clamídias;A56.3 Infecc do anus e do reto p/clamidias;;
A;56;4;;;;Infecção da faringe por clamídias;A56.4 Infecc da faringe p/clamidias;;
A;56;8;;;;Infecção por clamídias transmitida por via sexual, de outras localizações;A56.8 Infecc p/clamid transm p/via sex outr local;;
A;57;;;;;Cancro mole;A57   Cancro mole;;
A;58;;;;;Granuloma inguinal;A58   Granuloma inguinal;;
A;59;0;;;;Tricomoníase urogenital;A59.0 Tricomoniase urogenital;;
A;59;8;;;;Outras localizações de tricomoníase;A59.8 Outr localiz de tricomoniase;;
A;59;9;;;;Tricomoníase não especificada;A59.9 Tricomoniase NE;;
A;60;0;;;N;Infecção dos órgãos genitais e do trato geniturinário pelo vírus do herpes;A60.0 Infecc org genit trat genitur p/virus herpes;;
A;60;1;;;;Infecção da margem cutânea do ânus e do reto pelo vírus do herpes;A60.1 Infecc margem cutan anus/reto p/virus herpes;;
A;60;9;;;;Infecção anogenital não especificada pelo vírus do herpes;A60.9 Infecc anogenital NE p/virus do herpes;;
A;63;0;;;;Verrugas anogenitais (venéreas);A63.0 Verrugas anogenitais;;
A;63;8;;;;Outras doenças especificadas de transmissão predominantemente sexual;A63.8 Outr doenc espec de transm predom sexual;;
A;64;;;;;Doenças sexualmente transmitidas, não especificadas;A64   Doenc sexualmente transm NE;;
A;65;;;;;Sífilis não-venérea;A65   Sifilis nao-venerea;;
A;66;0;;;;Lesões iniciais da bouba;A66.0 Lesoes iniciais da bouba;;
A;66;1;;;;Papilomas múltiplos e bouba plantar úmida (cravo de bouba);A66.1 Papilomas mult e bouba plantar umida;;
A;66;2;;;;Outras lesões cutâneas precoces da bouba;A66.2 Outr lesoes cutaneas precoces da bouba;;
A;66;3;;;;Hiperceratose devida a bouba;A66.3 Hiperceratose dev bouba;;
A;66;4;;;;Gomas e úlceras devidas à bouba;A66.4 Gomas e ulceras dev bouba;;
A;66;5;;;;Gangosa;A66.5 Gangosa;;
A;66;6;;;;Lesões osteoarticulares devidas à bouba;A66.6 Lesoes osteoarticulares dev bouba;;
A;66;7;;;;Outras manifestações da bouba;A66.7 Outr manifestacoes da bouba;;
A;66;8;;;;Bouba latente;A66.8 Bouba latente;;
A;66;9;;;;Bouba não especificada;A66.9 Bouba NE;;
A;67;0;;;;Lesões primárias da pinta;A67.0 Lesoes prim da pinta;;
A;67;1;;;;Lesões intermediárias da pinta;A67.1 Lesoes intermediarias da pinta;;
A;67;2;;;;Lesões tardias da pinta;A67.2 Lesoes tard da pinta;;
A;67;3;;;;Lesões mistas da pinta;A67.3 Lesoes mistas da pinta;;
A;67;9;;;;Pinta não especificada;A67.9 Pinta NE;;
A;68;0;;;;Febre recorrente transmitida por piolhos;A68.0 Febre recorrente transm p/piolhos;;
A;68;1;;;;Febre recorrente transmitida por carrapatos;A68.1 Febre recorrente transm p/carrapatos;;
A;68;9;;;;Febre recorrente não especificada;A68.9 Febre recorrente NE;;
A;69;0;;;;Estomatite ulcerativa necrotizante;A69.0 Estomatite ulcerativa necrotizante;;
A;69;1;;;;Outras infecções de Vincent;A69.1 Outr infecc de Vincent;;
A;69;2;;;;Doença de Lyme;A69.2 Doenc de Lyme;;
A;69;8;;;;Outras infecções especificadas por espiroquetas;A69.8 Outr infecc espec p/espiroquetas;;
A;69;9;;;;Infecção por espiroqueta, não especificada;A69.9 Infecc p/espiroqueta NE;;
A;70;;;;;Infecções causadas por Clamídia psittaci;A70   Infecc causadas p/Clamidia psittaci;;
