LETRA;NÚMERO;CLASSIF;DESCRICAO;DESCRABREV;REFER
A;64;;Doenças sexualmente transmitidas, não especificadas;A64   Doenc sexualmente transm NE;
A;65;;Sífilis não-venérea;A65   Sifilis nao-venerea;
A;66;;Bouba;A66   Bouba;
A;67;;Pinta [carate];A67   Pinta;
A;68;;Febres recorrentes [Borrelioses];A68   Febres recorrentes;
A;69;;Outras infecções por espiroquetas;A69   Outr infecc p/espiroquetas;
A;70;;Infecções causadas por Clamídia psittaci;A70   Infecc causadas p/Clamidia psittaci;
A;71;;Tracoma;A71   Tracoma;
A;74;;Outras doenças causadas por Clamídias;A74   Outr doenc causadas p/Clamidias;
A;75;;Tifo exantemático;A75   Tifo exantematico;
A;77;;Febre maculosa [rickettsioses transmitidas por carrapatos];A77   Febre maculosa;
A;78;;Febre Q;A78   Febre Q;
A;79;;Outras rickettsioses;A79   Outr rickettsioses;
A;80;;Poliomielite aguda;A80   Poliomielite aguda;
A;81;;Infecções por vírus atípicos do sistema nervoso central;A81   Infecc p/virus atipicos sist nervoso central;
A;82;;Raiva;A82   Raiva;
A;83;;Encefalite por vírus transmitidos por mosquitos;A83   Encefalite p/virus transm p/mosquitos;
A;84;;Encefalite por vírus transmitido por carrapatos;A84   Encefalite p/virus transm p/carrapatos;
A;85;;Outras encefalites virais, não classificadas em outra parte;A85   Outr encefalites virais NCOP;
A;86;;Encefalite viral, não especificada;A86   Encefalite viral NE;
A;87;;Meningite viral;A87   Meningite viral;
A;88;;Outras infecções virais do sistema nervoso central não classificadas em outra parte;A88   Outr infecc virais sist nervoso central NCOP;
A;89;;Infecções virais não especificadas do sistema nervoso central;A89   Infecc virais NE do sist nervoso central;
A;90;;Dengue [dengue clássico];A90   Dengue;
A;91;;Febre hemorrágica devida ao vírus do dengue;A91   Febre hemorragica dev virus do dengue;
A;92;;Outras febres virais transmitidas por mosquitos;A92   Outr febres virais transm p/mosquitos;
A;93;;Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte;A93   Outr febres p/virus transm p/artropodes NCOP;
A;94;;Febre viral transmitida por artrópodes, não especificada;A94   Febre viral transm p/artropodes NE;
A;95;;Febre amarela;A95   Febre amarela;
A;96;;Febre hemorrágica por arenavírus;A96   Febre hemorragica p/arenavirus;
A;98;;Outras febres hemorrágicas por vírus, não classificadas em outra parte;A98   Outr febres hemorragicas p/virus NCOP;
A;99;;Febres hemorrágicas virais não especificadas;A99   Febres hemorragicas virais NE;
B;0;;Infecções pelo vírus do herpes [herpes simples];B00   Infecc p/virus do herpes;
B;1;;Varicela [Catapora];B01   Varicela;
B;2;;Herpes zoster [Zona];B02   Herpes zoster;
B;3;;Varíola;B03   Variola;
B;4;;Varíola dos macacos [Monkeypox];B04   Variola dos macacos;
B;5;;Sarampo;B05   Sarampo;
B;6;;Rubéola;B06   Rubeola;
B;7;;Verrugas de origem viral;B07   Verrugas orig viral;
B;8;;Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte;B08   Outr inf virais lesoes pele membr muc NCOP;
B;9;;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas;B09   Inf viral NE caract p/lesoes pele membr muco;
B;15;;Hepatite aguda A;B15   Hepatite aguda A;
B;16;;Hepatite aguda B;B16   Hepatite aguda B;
B;17;;Outras hepatites virais agudas;B17   Outr hepatites virais agudas;
B;18;;Hepatite viral crônica;B18   Hepatite viral cronica;
B;19;;Hepatite viral não especificada;B19   Hepatite viral NE;
B;20;;Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias;B20   Doenc p/HIV result doenc infecc e parasit;
B;21;;Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas;B21   Doenc p/HIV result em neopl malig;
B;22;;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas;B22   Doenc p/HIV result em outr doenc espec;
B;23;;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças;B23   Doenc p/HIV result em outr doenc;
B;24;;Doença pelo vírus da imunodeficiência humana [HIV] não especificada;B24   Doenc p/HIV NE;
B;25;;Doença por citomegalovírus;B25   Doenc p/citomegalovirus;
B;26;;Caxumba [Parotidite epidêmica];B26   Caxumba;
B;27;;Mononucleose infecciosa;B27   Mononucleose infecc;
B;30;;Conjuntivite viral;B30   Conjuntivite viral;
B;33;;Outras doenças por vírus não classificada em outra parte;B33   Outr doenc p/virus NCOP;
B;34;;Doenças por vírus, de localização não especificada;B34   Doenc p/virus de localiz NE;
B;35;;Dermatofitose;B35   Dermatofitose;
B;36;;Outras micoses superficiais;B36   Outr micoses superf;
B;37;;Candidíase;B37   Candidiase;
B;38;;Coccidioidomicose;B38   Coccidioidomicose;
B;39;;Histoplasmose;B39   Histoplasmose;
B;40;;Blastomicose;B40   Blastomicose;
B;41;;Paracoccidioidomicose;B41   Paracoccidioidomicose;
B;42;;Esporotricose;B42   Esporotricose;
B;43;;Cromomicose e abscesso feomicótico;B43   Cromomicose e abscesso feomicotico;
B;44;;Aspergilose;B44   Aspergilose;
B;45;;Criptococose;B45   Criptococose;
B;46;;Zigomicose;B46   Zigomicose;
B;47;;Micetoma;B47   Micetoma;
B;48;;Outras micoses, não classificadas em outra parte;B48   Outr micoses NCOP;
B;49;;Micose não especificada;B49   Micose NE;
B;50;;Malária por Plasmodium falciparum;B50   Malaria p/Plasmodium falciparum;
B;51;;Malária por Plasmodium vivax;B51   Malaria p/Plasmodium vivax;
B;52;;Malária por Plasmodium malariae;B52   Malaria p/Plasmodium malariae;
B;53;;Outras formas de malária confirmadas por exames parasitológicos;B53   Outr form malaria conf p/exames parasitolog;
B;54;;Malária não especificada;B54   Malaria NE;
B;55;;Leishmaniose;B55   Leishmaniose;
B;56;;Tripanossomíase africana;B56   Tripanossomiase africana;
B;57;;Doença de Chagas;B57   Doenc de Chagas;
B;58;;Toxoplasmose;B58   Toxoplasmose;
B;59;+;Pneumocistose;B59   Pneumocistose;J17.3*
B;60;;Outras doenças devidas a protozoários, não classificadas em outra parte;B60   Outr doenc dev protozoarios NCOP;
B;64;;Doença não especificada devida a protozoários;B64   Doenc NE dev protozoarios;
B;65;;Esquistossomose [bilharziose] [Schistosomíase];B65   Esquistossomose;
B;66;;Outras infestações por trematódeos;B66   Outr infestacoes p/trematodeos;
B;67;;Equinococose;B67   Equinococose;
B;68;;Infestação por Taenia;B68   Infestacao p/Taenia;
B;69;;Cisticercose;B69   Cisticercose;
B;70;;Difilobotríase e esparganose;B70   Difilobotriase e esparganose;
B;71;;Outras infestações por cestóides;B71   Outr infestacoes p/cestoides;
B;72;;Dracontíase;B72   Dracontiase;
B;73;;Oncocercose;B73   Oncocercose;
B;74;;Filariose;B74   Filariose;
B;75;;Triquinose;B75   Triquinose;
B;76;;Ancilostomíase;B76   Ancilostomiase;
B;77;;Ascaridíase;B77   Ascaridiase;
B;78;;Estrongiloidíase;B78   Estrongiloidiase;
B;79;;Tricuríase;B79   Tricuriase;
B;80;;Oxiuríase;B80   Oxiuriase;
B;81;;Outras helmintíases intestinais, não classificadas em outra parte;B81   Outr helmintiases intestinais NCOP;
B;82;;Parasitose intestinal não especificada;B82   Parasitose intestinal NE;
B;83;;Outras helmintíases;B83   Outr helmintiases;
B;85;;Pediculose e ftiríase;B85   Pediculose e ftiriase;
B;86;;Escabiose [sarna];B86   Escabiose;
B;87;;Miíase;B87   Miiase;
B;88;;Outras infestações;B88   Outr infestacoes;
B;89;;Doença parasitária não especificada;B89   Doenc parasit NE;
B;90;;Seqüelas de tuberculose;B90   Sequelas de tuberc;
B;91;;Seqüelas de poliomielite;B91   Sequelas de poliomielite;
B;92;;Seqüelas de hanseníase [lepra];B92   Sequelas de hanseniase;
B;94;;Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas;B94   Sequelas de outr doenc infecc e parasit e NE;
B;95;;Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos;B95   Estr/estafilococo causa doenc class outr cap;
B;96;;Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos;B96   Outr agent bacter causa doenc class outr cap;
B;97;;Vírus como causa de doenças classificadas em outros capítulos;B97   Virus como doenc class outr cap;
B;99;;Doenças infecciosas, outras e as não especificadas;B99   Doenc infecc outr e as NE;
C;0;;Neoplasia maligna do lábio;C00   Neopl malig do labio;
C;1;;Neoplasia maligna da base da língua;C01   Neopl malig da base da lingua;
C;2;;Neoplasia maligna de outras partes e de partes não especificadas da língua;C02   Neopl malig outr partes e NE da lingua;
C;3;;Neoplasia maligna da gengiva;C03   Neopl malig da gengiva;
C;4;;Neoplasia maligna do assoalho da boca;C04   Neopl malig do assoalho da boca;
C;5;;Neoplasia maligna do palato;C05   Neopl malig do palato;
C;6;;Neoplasia maligna de outras partes e de partes não especificadas da boca;C06   Neopl malig outr partes e partes NE da boca;
C;7;;Neoplasia maligna da glândula parótida;C07   Neopl malig da gland parotida;
C;8;;Neoplasia maligna de outras glândulas salivares maiores e as não especificadas;C08   Neopl malig outr gland saliv maiores e NE;
C;9;;Neoplasia maligna da amígdala;C09   Neopl malig da amigdala;
C;10;;Neoplasia maligna da orofaringe;C10   Neopl malig da orofaringe;
C;11;;Neoplasia maligna da nasofaringe;C11   Neopl malig da nasofaringe;
C;12;;Neoplasia maligna do seio piriforme;C12   Neopl malig do seio piriforme;
C;13;;Neoplasia maligna da hipofaringe;C13   Neopl malig da hipofaringe;
C;14;;Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe;C14   Neop mal out loc mal def labio cav oral far;
C;15;;Neoplasia maligna do esôfago;C15   Neopl malig do esofago;
C;16;;Neoplasia maligna do estômago;C16   Neopl malig do estomago;
C;17;;Neoplasia maligna do intestino delgado;C17   Neopl malig do intestino delgado;
C;18;;Neoplasia maligna do cólon;C18   Neopl malig do colon;
C;19;;Neoplasia maligna da junção retossigmóide;C19   Neopl malig da juncao retossigmoide;
C;20;;Neoplasia maligna do reto;C20   Neopl malig do reto;
C;21;;Neoplasia maligna do ânus e do canal anal;C21   Neopl malig do anus e do canal anal;
C;22;;Neoplasia maligna do fígado e das vias biliares intra-hepáticas;C22   Neopl malig figado vias biliares intra-hepat;
C;23;;Neoplasia maligna da vesícula biliar;C23   Neopl malig da vesicula biliar;
C;24;;Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares;C24   Neopl malig outr partes e NE vias biliares;
C;25;;Neoplasia maligna do pâncreas;C25   Neopl malig do pancreas;
C;26;;Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo;C26   Neopl malig outr mal def aparelho digestivo;
C;30;;Neoplasia maligna da cavidade nasal e do ouvido médio;C30   Neopl malig cavidade nasal e do ouvido medio;
C;31;;Neoplasia maligna dos seios da face;C31   Neopl malig dos seios da face;
C;32;;Neoplasia maligna da laringe;C32   Neopl malig da laringe;
C;33;;Neoplasia maligna da traquéia;C33   Neopl malig da traqueia;
C;34;;Neoplasia maligna dos brônquios e dos pulmões;C34   Neopl malig dos bronquios e dos pulmoes;
C;37;;Neoplasia maligna do timo;C37   Neopl malig do timo;
C;38;;Neoplasia maligna do coração, mediastino e pleura;C38   Neopl malig do coracao mediastino e pleura;
C;39;;Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos;C39   Neop mal out loc mal def ap resp org intrat;
C;40;;Neoplasia maligna dos ossos e cartilagens articulares dos membros;C40   Neopl malig ossos/cartilag artic membros;
C;41;;Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas;C41   Neopl malig ossos/cartil artic outr loc e NE;
C;43;;Melanoma maligno da pele;C43   Melanoma malig da pele;
C;44;;Outras neoplasias malignas da pele;C44   Outr neopl malig da pele;
C;45;;Mesotelioma;C45   Mesotelioma;
C;46;;Sarcoma de Kaposi;C46   Sarcoma de Kaposi;
C;47;;Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo;C47   Neopl malig nervos perif e sist nerv autonom;
C;48;;Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio;C48   Neopl malig tec moles retro- e peritonio;
C;49;;Neoplasia maligna do tecido conjuntivo e de outros tecidos moles;C49   Neopl malig tec conjuntivo e outr tec moles;
C;50;;Neoplasia maligna da mama;C50   Neopl malig da mama;
C;51;;Neoplasia maligna da vulva;C51   Neopl malig da vulva;
C;52;;Neoplasia maligna da vagina;C52   Neopl malig da vagina;
C;53;;Neoplasia maligna do colo do útero;C53   Neopl malig do colo do utero;
C;54;;Neoplasia maligna do corpo do útero;C54   Neopl malig do corpo do utero;
C;55;;Neoplasia maligna do útero, porção não especificada;C55   Neopl malig do utero porcao NE;
C;56;;Neoplasia maligna do ovário;C56   Neopl malig do ovario;
C;57;;Neoplasia maligna de outros órgãos genitais femininos e dos não especificados;C57   Neopl malig outr org genitais femin e NE;
C;58;;Neoplasia maligna da placenta;C58   Neopl malig da placenta;
C;60;;Neoplasia maligna do pênis;C60   Neopl malig do penis;
C;61;;Neoplasia maligna da próstata;C61   Neopl malig da prostata;
C;62;;Neoplasia maligna dos testículos;C62   Neopl malig dos testiculos;
C;63;;Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados;C63   Neopl malig outr org genit masc e NE;
C;64;;Neoplasia maligna do rim, exceto pelve renal;C64   Neopl malig do rim exceto pelve renal;
C;65;;Neoplasia maligna da pelve renal;C65   Neopl malig da pelve renal;
C;66;;Neoplasia maligna dos ureteres;C66   Neopl malig dos ureteres;
C;67;;Neoplasia maligna da bexiga;C67   Neopl malig da bexiga;
C;68;;Neoplasia maligna de outros órgãos urinários e dos não especificados;C68   Neopl malig de outr orgaos urinarios e NE;
C;69;;Neoplasia maligna do olho e anexos;C69   Neopl malig do olho e anexos;
C;70;;Neoplasia maligna das meninges;C70   Neopl malig das meninges;
C;71;;Neoplasia maligna do encéfalo;C71   Neopl malig do encefalo;
C;72;;Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central;C72   Neop mal med esp nerv cran out sist nerv cen;
C;73;;Neoplasia maligna da glândula tireóide;C73   Neopl malig da gland tireoide;
C;74;;Neoplasia maligna da glândula supra-renal [Glândula adrenal];C74   Neopl malig da gland supra-renal;
C;75;;Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas;C75   Neopl malig outr gland endocrinas estr relac;
C;76;;Neoplasia maligna de outras localizações e de localizações mal definidas;C76   Neopl malig outr localiz e mal definidas;
C;77;;Neoplasia maligna secundária e não especificada dos gânglios linfáticos;C77   Neopl malig secund e NE gangl linfaticos;
C;78;;Neoplasia maligna secundária dos órgãos respiratórios e digestivos;C78   Neopl malig secund org respirat e digestivos;
C;79;;Neoplasia maligna secundária de outras localizações;C79   Neopl malig secund de outr localiz;
C;80;;Neoplasia maligna, sem especificação de localização;C80   Neopl malig s/especificacao de localiz;
C;81;;Doença de Hodgkin;C81   Doenc de Hodgkin;
C;82;;Linfoma não-Hodgkin, folicular (nodular);C82   Linfoma nao-Hodgkin folicular;
C;83;;Linfoma não-Hodgkin difuso;C83   Linfoma nao-Hodgkin difuso;
C;84;;Linfomas de células T cutâneas e periféricas;C84   Linfomas de celulas T cutaneas e perifericas;
C;85;;Linfoma não-Hodgkin de outros tipos e de tipo não especificado;C85   Linfoma nao-Hodgkin de outr tipos e tipo NE;
C;88;;Doenças imunoproliferativas malignas;C88   Doenc imunoproliferativas malignas;
C;90;;Mieloma múltiplo e neoplasias malignas de plasmócitos;C90   Mieloma mult e neopl malig de plasmocitos;
C;91;;Leucemia linfóide;C91   Leucemia linfoide;
C;92;;Leucemia mielóide;C92   Leucemia mieloide;
C;93;;Leucemia monocítica;C93   Leucemia monocitica;
C;94;;Outras leucemias de células de tipo especificado;C94   Outr leucemias de celulas de tipo espec;
C;95;;Leucemia de tipo celular não especificado;C95   Leucemia de tipo celular NE;
C;96;;Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos;C96   Outr neopl mal e NE tec linf hematop e corr;
C;97;;Neoplasias malignas de localizações múltiplas independentes (primárias);C97   Neopl malig de localiz mult independentes;
D;0;;Carcinoma in situ da cavidade oral, do esôfago e do estômago;D00   Carcinoma in situ cav oral esofago estomago;
D;1;;Carcinoma in situ de outros órgãos digestivos;D01   Carcinoma in situ de outr orgaos digestivos;
D;2;;Carcinoma in situ do ouvido médio e do aparelho respiratório;D02   Carcinoma in situ ouvido medio e ap respirat;
D;3;;Melanoma in situ;D03   Melanoma in situ;
D;4;;Carcinoma in situ da pele;D04   Carcinoma in situ da pele;
D;5;;Carcinoma in situ da mama;D05   Carcinoma in situ da mama;
D;6;;Carcinoma in situ do colo do útero (cérvix);D06   Carcinoma in situ do colo do utero;
D;7;;Carcinoma in situ de outros órgãos genitais e dos não especificados;D07   Carcinoma in situ outr orgaos genitais e NE;
D;9;;Carcinoma in situ de outras localizações e das não especificadas;D09   Carcinoma in situ de outr localiz e das NE;
D;10;;Neoplasia benigna da boca e da faringe;D10   Neopl benig da boca e da faringe;
D;11;;Neoplasia benigna de glândulas salivares maiores;D11   Neopl benig de gland salivares maiores;
D;12;;Neoplasia benigna do cólon, reto, canal anal e ânus;D12   Neopl benig do colon reto canal anal e anus;
D;13;;Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo;D13   Neopl benig outr part e mal def ap digestivo;
D;14;;Neoplasia benigna do ouvido médio e do aparelho respiratório;D14   Neopl benig ouvido medio e aparelho respirat;
D;15;;Neoplasia benigna de outros órgãos intratorácicos e dos não especificados;D15   Neopl benig outr orgaos intratoracicos e NE;
D;16;;Neoplasia benigna de osso e de cartilagem articular;D16   Neopl benig de osso e cartilagem articular;
D;17;;Neoplasia lipomatosa benigna;D17   Neopl lipomatosa benig;
D;18;;Hemangioma e linfangioma de qualquer localização;D18   Hemangioma e linfangioma de qualquer localiz;
D;19;;Neoplasia benigna de tecido mesotelial;D19   Neopl benig de tec mesotelial;
D;20;;Neoplasia benigna de tecido mole do retroperitônio e do peritônio;D20   Neopl benig tec mole retro- e peritonio;
D;21;;Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles;D21   Outr neopl benig tec conj e outr tec moles;
D;22;;Nevos melanocíticos;D22   Nevos melanociticos;
D;23;;Outras neoplasias benignas da pele;D23   Outr neopl benig da pele;
D;24;;Neoplasia benigna da mama;D24   Neopl benig da mama;
D;25;;Leiomioma do útero;D25   Leiomioma do utero;
D;26;;Outras neoplasias benignas do útero;D26   Outr neopl benig do utero;
D;27;;Neoplasia benigna do ovário;D27   Neopl benig do ovario;
D;28;;Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados;D28   Neopl benig outr org genitais femin e NE;
D;29;;Neoplasia benigna dos órgãos genitais masculinos;D29   Neopl benig dos orgaos genitais masc;
D;30;;Neoplasia benigna dos órgãos urinários;D30   Neopl benig dos orgaos urinarios;
D;31;;Neoplasia benigna do olho e anexos;D31   Neopl benig do olho e anexos;
D;32;;Neoplasia benigna das meninges;D32   Neopl benig das meninges;
D;33;;Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central;D33   Neopl benig encef e out part sist nerv centr;
D;34;;Neoplasia benigna da glândula tireóide;D34   Neopl benig da gland tireoide;
D;35;;Neoplasia benigna de outras glândulas endócrinas e das não especificadas;D35   Neopl benig de outr gland endocrinas e NE;
D;36;;Neoplasia benigna de outras localizações e de localizações não especificadas;D36   Neopl benig de outr localiz e de localiz NE;
D;37;;Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos;D37   Neopl comp incerto/desc cav oral e org dig;
D;38;;Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos;D38   Neopl comp inc/desc ouv med org resp intrat;
D;39;;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos;D39   Neopl comp incerto/desconh org genitais fem;
D;40;;Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos;D40   Neopl comp incerto/desconh org genitais masc;
D;41;;Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários;D41   Neopl comp incerto/desconh orgaos urinarios;
D;42;;Neoplasia de comportamento incerto ou desconhecido das meninges;D42   Neopl comp incerto/desconhecido meninges;
D;43;;Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central;D43   Neopl comp inc/desc encefalo sist nerv centr;
D;44;;Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas;D44   Neopl comp incerto/desconh gland endocrinas;
D;45;;Policitemia vera;D45   Policitemia vera;
D;46;;Síndromes mielodisplásicas;D46   Sindr mielodisplasicas;
D;47;;Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos;D47   Out neop comp inc/des tec linf hemat tec cor;
D;48;;Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas;D48   Neopl comp inc/desconh outr localiz e NE;
D;50;;Anemia por deficiência de ferro;D50   Anemia p/defic de ferro;
D;51;;Anemia por deficiência de vitamina B12;D51   Anemia p/defic de vitamina B12;
D;52;;Anemia por deficiência de folato;D52   Anemia p/defic de folato;
D;53;;Outras anemias nutricionais;D53   Outr anemias nutricionais;
D;55;;Anemia devida a transtornos enzimáticos;D55   Anemia dev transt enzimaticos;
D;56;;Talassemia;D56   Talassemia;
D;57;;Transtornos falciformes;D57   Transt falciformes;
D;58;;Outras anemias hemolíticas hereditárias;D58   Outr anemias hemoliticas hereditarias;
D;59;;Anemia hemolítica adquirida;D59   Anemia hemolitica adquir;
D;60;;Aplasia pura da série vermelha, adquirida [eritroblastopenia];D60   Aplasia pura da serie vermelha adquir;
D;61;;Outras anemias aplásticas;D61   Outr anemias aplasticas;
D;62;;Anemia aguda pós-hemorrágica;D62   Anemia aguda pos-hemorragica;
D;63;*;Anemia em doenças crônicas classificadas em outra parte;D63   Anemia em doenc cronicas COP;
D;64;;Outras anemias;D64   Outr anemias;
D;65;;Coagulação intravascular disseminada [síndrome de desfibrinação];D65   Coagulacao intravascular disseminada;
D;66;;Deficiência hereditária do fator VIII;D66   Defic hereditaria do fator VIII;
D;67;;Deficiência hereditária do fator IX;D67   Defic hereditaria do fator IX;
D;68;;Outros defeitos da coagulação;D68   Outr defeitos da coagulacao;
D;69;;Púrpura e outras afecções hemorrágicas;D69   Purpura e outr afeccoes hemorragicas;
D;70;;Agranulocitose;D70   Agranulocitose;
D;71;;Transtornos funcionais dos neutrófilos polimorfonucleares;D71   Transt func neutrofilos polimorfonucleares;
D;72;;Outros transtornos dos glóbulos brancos;D72   Outr transt dos globulos brancos;
D;73;;Doenças do baço;D73   Doenc do baco;
D;74;;Metemoglobinemia;D74   Metemoglobinemia;
D;75;;Outras doenças do sangue e dos órgãos hematopoéticos;D75   Outr doenc sangue e orgaos hematopoeticos;
D;76;;Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico;D76   Alg doenc q env tec linforr e sist reticuloh;
D;77;*;Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte;D77   Outr transt sangue e org hematop doenc COP;
D;80;;Imunodeficiência com predominância de defeitos de anticorpos;D80   Imunodefic c/predom defeitos anticorpos;
D;81;;Deficiências imunitárias combinadas;D81   Defic imunitarias combinadas;
D;82;;"Imunodeficiência associada com outros defeitos ""major""";D82   Imunodeficiencia assoc c/outr defeitos major;
D;83;;Imunodeficiência comum variável;D83   Imunodeficiencia comum variavel;
D;84;;Outras imunodeficiências;D84   Outr imunodeficiencias;
D;86;;Sarcoidose;D86   Sarcoidose;
D;89;;Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte;D89   Outr transt q comprom mecanismo imunit NCOP;
E;0;;Síndrome de deficiência congênita de iodo;E00   Sindr de defic congen de iodo;
E;1;;Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo;E01   Transt tireoid e afecc assoc rel defic iodo;
E;2;;Hipotireoidismo subclínico por deficiência de iodo;E02   Hipotireoidismo subclinico p/defic de iodo;
E;3;;Outros hipotireoidismos;E03   Outr hipotireoidismos;
E;4;;Outros bócios não-tóxicos;E04   Outr bocios nao-toxicos;
